matchname.x,matchname.y,samplename,samplenumber,score,dS,dL,insulated,pat_width,first_surf,dS15,dL85,visual_contrast
x3m_sample3,x3m_sample3,x3m,Sample3,0.7710843373493976,3.9996121538819556,26.4905434,N,1.95,1,0.5999418230822933,22.51696189,8.558451856541147
x3m_sample4,x3m_sample4,x3m,Sample4,0.5662650602409639,0.22390398717708404,1.6002499,N,1,1,0.033585598076562605,1.360212415,-2.303100993461719
abc_birdtape,abc_birdtape,ABC,BirdTape,0.652777778,1.6343544009477997,5.2193033,N,1.8,1,0.24515316014216995,4.436407805,-0.659219517428915
abc_birdtape,abc_birdtape,ABC,BirdTape,0.652777778,1.1562617988104236,21.4155288,N,1.8,1,0.17343926982156352,18.20319948,6.188319374910781
arnold_unit7,arnold_unit7,Arnold,Unit7,0.6911764705882353,0.7403158573907987,1.9536112,Y,NA,NA,0.11104737860861981,1.6605695200000001,-2.11419155069569
arnold_14,arnold_14,Arnold,14,0.771084,0.963323593570581,3.9227658,Y,0.5,2,0.14449853903558713,3.33435093,-1.2605752654822064
arnold_15,arnold_15,Arnold,15,0.769,1.259606422421742,9.9854707,Y,0.5,1,0.1889409633632613,8.487650095,1.3382955291816305
arnold_16,arnold_16,Arnold,16,0.777778,1.3895988834660198,9.1571207,Y,0.5,2,0.20843983251990297,7.783552595,0.9959962137599514
arnold_17,arnold_17,Arnold,17,0.714286,0.7520688620385563,1.9078613,Y,0.1,2,0.11281032930578344,1.6216821049999999,-2.132753782847108
arnold_17,arnold_17,Arnold,17,0.714286,0.5851119123459614,1.7379259,Y,0.1,2,0.08776678685189421,1.477237015,-2.217498099074053
arnold_17,arnold_17,Arnold,17,0.714286,0.8024924688759265,2.7287552,Y,0.1,2,0.12037387033138897,2.31944192,-1.7800921048343055
arnold_17,arnold_17,Arnold,17,0.714286,0.6519816508626448,0.917032,Y,0.1,2,0.09779724762939672,0.7794772,-2.5613627761853017
arnold_18,arnold_18,Arnold,18,0.55,1.7842475854672522,0.3371912,N,0.1,2,0.2676371378200878,0.28661252000000004,-2.722875171089956
arnold_19,arnold_19,Arnold,19,0.493151,0.21404708709133016,0.6766363,N,NA,1,0.03210706306369952,0.575140855,-2.69637604096815
arnold_20,arnold_20,Arnold,20,0.44,0.06965699549127316,0.5710402,N,NA,1,0.010448549323690973,0.48538417,-2.7520836403381543
arnold_21,arnold_21,Arnold,21,0.7125,0.085231230012849,0.2370284,Y,0.1,2,0.01278468450192735,0.20147414,-2.8928705877490364
arnold_22,arnold_22,Arnold,22,0.769231,0.24731554039429351,0.0368705,Y,0.1,3,0.03709733105914403,0.031339925,-2.965781371970428
arnold_23,arnold_23,Arnold,23,0.816092,0.019650155025405264,0.1624827,Y,0.1,2,0.0029475232538107893,0.138110295,-2.9294710908730948
arnold_24,arnold_24,Arnold,24,0.766234,1.520570119929576,5.6165339,N,0.5,2,0.22808551798943638,4.774053815,-0.4989303335052817
arnold_25,arnold_25,Arnold,25,0.69863,0.4750536738605968,1.702448,Y,0.1,3,0.07125805107908952,1.4470808,-2.240830574460455
arnold_28,arnold_28,Arnold,28,0.675325,0.6699777784429998,0.2485423,NA,NA,NA,0.10049666676644996,0.211260955,-2.844121189116775
arnold_29,arnold_29,Arnold,29,0.746667,0.5631172540818735,0.4546435,N,0.6,2,0.08446758811228103,0.38644697499999997,-2.7645427184438596
arnold_31,arnold_31,Arnold,31,0.626506,0.780689308571996,1.5057357,N,0.1,2,0.1171033962857994,1.279875345,-2.3015106293571
arnold_32,arnold_32,Arnold,32,0.686567,0.26430591402392645,0.8949068,N,1.8,2,0.03964588710358897,0.76067078,-2.5998416664482056
arnold_33,arnold_33,Arnold,33,0.561798,0.9056351883977145,1.1574157,N,1.8,2,0.13584527825965717,0.983803345,-2.4401756883701715
arnold_39,arnold_39,Arnold,39,0.771084,0.972299337405061,2.8594047,Y,0.1,2,0.14584490061075914,2.430493995,-1.7118305521946204
arnold_40,arnold_40,Arnold,40,0.752577,1.1709002425261597,1.0197645,Y,0.1,2,0.17563503637892394,0.866799825,-2.478782569310538
arnold_41,arnold_41,Arnold,41,0.619048,1.1856124246495492,0.3988693,Y,0.3,2,0.17784186369743238,0.339038905,-2.741559615651284
arnold_42,arnold_42,Arnold,42,0.698795,0.32793830214118336,0.7741186,Y,0.3,2,0.0491907453211775,0.65800081,-2.6464042223394113
arnold_43,arnold_43,Arnold,43,0.755319,0.29008223183856563,0.4412489,Y,0.3,2,0.043512334775784846,0.375061565,-2.7907130501121076
arnold_45,arnold_45,Arnold,45,0.75,0.8771928039798025,0.3453864,Y,0.1,2,0.13157892059697038,0.29357844,-2.7874213197015147
arnold_46,arnold_46,Arnold,46,0.726027397260274,2.204932453992525,7.4208123,Y,0.1,2,0.33073986809887873,6.3076904549999995,0.31921516154943896
arnold_47,arnold_47,Arnold,47,0.7532467532467533,0.08280955896849294,0.9398943,Y,0.1,3,0.012421433845273942,0.798910155,-2.594334205577363
arnold_48,arnold_48,Arnold,48,0.7272727272727273,0.08399610695335742,0.2337934,Y,0.1,3,0.012599416043003613,0.19872439,-2.8943380969784984
arnold_49,arnold_49,Arnold,49,0.7083333333333334,0.23496327009334145,0.1860399,Y,0.1,3,0.03524449051400121,0.158133915,-2.9033107972429995
arnold_50,arnold_50,Arnold,50,0.7088607594936709,3.067763896865402,10.6605837,N,1.19,1,0.4601645845298103,9.061496145,1.7608303647649048
arnold_51,arnold_51,Arnold,51,0.7866666666666666,0.34686932146953864,0.1065227,Y,0.244,5,0.0520303982204308,0.090544295,-2.9287126533897845
arnold_52,arnold_52,Arnold,52,0.703,0.02962934435367464,0.1103808,Y,0.335,5,0.004444401653051196,0.09382367999999999,-2.9508659591734743
arnold_53,arnold_53,Arnold,53,0.8,0.142027796232927,0.1919636,Y,0.213,5,0.021304169434939048,0.16316906,-2.9077633852825304
arnold_54,arnold_54,Arnold,54,0.8095238095238095,2.0243044658138167,13.444071,N,0.6,1,0.3036456698720725,11.427460349999999,2.8655530099360353
arnold_55,arnold_55,Arnold,55,0.675,1.399191325500783,11.7598434,Y,0.55,1,0.20987869882511745,9.995866889999999,2.1028727944125576
arnold_56,arnold_56,Arnold,56,0.7380952380952381,0.9895538206546436,1.6481232,N,0.137,1,0.14843307309819653,1.4009047199999998,-2.225331103450902
conveniencegroup_cgdots,NA,ConvenienceGroup,CGDots,NA,NA,NA,N,NA,1,NA,NA,NA
diptech_lines,diptech_lines,Diptech,Lines,NA,2.7798429065020627,23.8406491,N,0.3,1,0.41697643597530937,20.264551735,7.340764085487656
diptech_lines,diptech_lines,Diptech,Lines,NA,1.5966577142599738,24.7913568,N,0.3,1,0.23949865713899607,21.072653279999997,7.656075968569496
diptech_lines,diptech_lines,Diptech,Lines,NA,1.47772666985105,21.3451318,N,0.3,1,0.2216590004776575,18.14336203,6.182510515238828
diptech_triangles,NA,Diptech,Triangles,0.913,NA,NA,N,1.88,1,NA,NA,NA
eastman_0003,NA,Eastman,0003,NA,NA,NA,N,NA,2,NA,NA,NA
eastman_0033,NA,Eastman,0033,0.7380952380952381,NA,NA,N,NA,2,NA,NA,NA
eastman_0333,NA,Eastman,0333,NA,NA,NA,N,NA,2,NA,NA,NA
eastman_3333,NA,Eastman,3333,0.7887323943661971,NA,NA,N,NA,2,NA,NA,NA
eastman_gggg,NA,Eastman,GGGG,NA,NA,NA,N,NA,2,NA,NA,NA
eastman_0033bh,eastman_0033bh,Eastman,0033BH,0.8791,1.027660300171564,12.7220789,N,0.3,1,0.1541490450257346,10.813767064999999,2.4839580550128666
eastman_3333bh,NA,Eastman,3333BH,0.8272,NA,NA,N,0.3,1,NA,NA,NA
eastman_0002,NA,Eastman,0002,NA,NA,NA,N,NA,2,NA,NA,NA
eastman_0022,NA,Eastman,0022,NA,NA,NA,N,NA,2,NA,NA,NA
eastman_0222,NA,Eastman,0222,NA,NA,NA,N,NA,2,NA,NA,NA
eastman_2222,NA,Eastman,2222,0.75,NA,NA,N,NA,2,NA,NA,NA
eastman_thickclear,NA,Eastman,ThickClear,NA,NA,NA,NA,NA,NA,NA,NA,NA
eastman_thinclear,NA,Eastman,ThinClear,NA,NA,NA,NA,NA,NA,NA,NA,NA
evonik_plexihorizontalblack,evonik_plexi,Evonik,PlexiHorizontalBlack,0.753425,0.6776249633532823,20.1019738,N,0.18,1,0.10164374450299234,17.086677729999998,5.594160737251496
featherfriendly_ff1,featherfriendly_ff1,FeatherFriendly,FF1,0.777778,1.9893155430531635,24.6415191,N,0.6,1,0.29839733145797454,20.945291235,7.621844283228986
ferro_graydots,ferro_graydots,Ferro,GrayDots,0.8690476190476191,1.388813412245324,23.8153141,N,1.25,1,0.20832201183679858,20.243016984999997,7.225669498418398
ferro_bluedots,ferro_bluedots,Ferro,BlueDots,0.8271604938271605,0.7386708592859638,13.0104889,N,1.25,1,0.11080062889289456,11.058915565,2.584858096946447
ferro_greendots,ferro_greendots,Ferro,GreenDots,0.8588235294117647,1.7772173259936612,16.38468,N,1.25,1,0.2665825988990492,13.926977999999998,4.096780299449524
ferro_etchdots,ferro_etch,Ferro,EtchDots,0.8,1.6870140390295267,17.5170767,N,1.25,1,0.253052105854429,14.889515195,4.5712836504272145
ferro_etchdots,ferro_etchdots,Ferro,EtchDots,0.8,1.2887297565181364,20.7512195,N,1.25,1,0.19330946347772046,17.638536575,5.9159230192388605
