matchname,dS_refl,dL_refl,dS_trans,dL_trans
abc_birdtape,1.3953080998791116,13.31741605,NA,NA
arnold_14,0.963323593570581,3.9227658,NA,NA
arnold_15,1.259606422421742,9.9854707,0.6200913049248694,1.1649889
arnold_16,1.3895988834660198,9.1571207,0.7533451239643422,2.5246093
arnold_17,0.6979137235307722,1.8228936,NA,NA
arnold_18,1.7842475854672522,0.3371912,0.33197168458472076,0.5408193
arnold_19,0.21404708709133016,0.6766363,NA,NA
arnold_20,0.06965699549127316,0.5710402,NA,NA
arnold_21,0.08523123001284477,0.2370284,0.16456471396993164,1.86891
arnold_22,0.24731554039429351,0.0368705,0.18985941683495713,0.0765454
arnold_23,0.019650155025401978,0.1624827,NA,NA
arnold_24,1.520570119929576,5.6165339,NA,NA
arnold_25,0.4750536738606041,1.702448,NA,NA
arnold_28,0.6699777784429956,0.2485423,NA,NA
arnold_29,0.5631172540818735,0.4546435,NA,NA
arnold_31,0.780689308571996,1.5057357,1.2580889337281236,0.6748802
arnold_32,0.26430591402392645,0.8949068,NA,NA
arnold_33,0.9056351883977145,1.1574157,NA,NA
arnold_39,0.972299337405061,2.8594047,0.1804201313157705,0.0383103
arnold_40,1.1709002425261616,1.0197645,NA,NA
arnold_41,1.1856124246495492,0.3988693,NA,NA
arnold_42,0.32793830214118336,0.7741186,0.19242816765902906,0.8944479
arnold_43,0.29008223183856563,0.4412489,0.04998467058542823,0.0324723
arnold_45,0.8771928039798025,0.3453864,0.30798331752080854,0.2284163
arnold_46,2.204932453992525,7.4208123,NA,NA
arnold_47,0.08280955896849294,0.9398943,0.03347339367422986,0.1613144
arnold_48,0.08399610695335742,0.2337934,0.10618842515132257,0.1885188
arnold_49,0.23496327009334453,0.1860399,0.07927236040479628,0.7155962
arnold_50,3.0677638968654017,10.6605837,NA,NA
arnold_51,0.34686932146953864,0.1065227,0.2425344514186637,1.066405
arnold_52,0.02962934435367464,0.1103808,0.1594713938823601,0.1790358
arnold_53,0.142027796232927,0.1919636,NA,NA
arnold_54,2.0243044658138167,13.444071,NA,NA
arnold_55,1.3991913255007722,11.7598434,NA,NA
arnold_56,0.9895538206546436,1.6481232,0.37489711129612185,0.0520265
arnold_59,0.025933067121265394,0.0726417,0.03069910147175693,0.0934086
arnold_60,0.09236806884244654,0.3137356,0.26568238387351856,0.7085629
arnold_61,1.0206827647871004,2.3046996,0.16369531725863207,0.3167353
arnold_62,0.016822258652316548,0.0158115,0.02356584237986084,0.2355793
arnold_unit7,0.7403158573907987,1.9536112,NA,NA
diptech_lines,1.951409096871029,23.325712566666667,NA,NA
eastman_0033bh,1.0276603001715665,12.7220789,1.733521106475643,42.7892398
eastman_3333bh,0.9097690696440632,14.6804293,NA,NA
evonik_plexi,0.6776249633532823,20.1019738,1.506089009067282,27.2943751
featherfriendly_ff1,1.989315543053162,24.6415191,NA,NA
ferro_bluedots,0.7386708592859638,13.0104889,NA,NA
ferro_etch,1.6870140390295267,17.5170767,NA,NA
ferro_etchdots,1.2887297565181364,20.7512195,NA,NA
ferro_graydots,1.388813412245324,23.8153141,NA,Inf
ferro_greendots,1.7772173259936612,16.38468,NA,NA
glaspro_glaspro,0.9303452129615678,0.2407411,NA,NA
guardian_60uv,7.679735595190232,0.0544045,0.9054960283097097,0.1464645
guardian_90uv,7.2677897794537465,0.0374423,NA,NA
guardian_bigdots,8.448702537977853,4.3318362,NA,NA
guardian_circles,11.030274423184574,0.0605025,1.1187597577175514,1.1587161
guardian_dotclusters,9.440599535697363,2.4367441,NA,NA
guardian_dots,5.474596732839661,23.9342258,NA,NA
guardian_g3n20dots,0.1596832731239989,1.7258525,NA,NA
guardian_gdots,3.575527147772617,22.7703847,36.8290696816221,88.8691341
guardian_glines50,1.4666776718300782,22.6404629,NA,NA
guardian_guardian50,1.3683967749477468,24.8232256,NA,NA
guardian_new30uv,7.967981415829541,0.4240919,1.173798445989799,0.9320706
guardian_partone,10.196883969185064,0.2150006,0.333436796472364,0.1275253
guardian_partthree,11.678989243274382,1.3473446,0.8544109163743063,0.3742421
