value,samplename
arnold_18_on_mirror,arnold_18
arnold_18_off_mirror,arnold_18
arnold_43_on_mirror,arnold_43
arnold_43_off_mirror,arnold_43
arnold_42_on_mirror,arnold_42
arnold_42_off_mirror,arnold_42
arnold_41_on_mirror,arnold_41
arnold_41_off_mirror,arnold_41
arnold_53_on_mirror,arnold_53
arnold_53_off_mirror,arnold_53
arnold_17_off_mirror.x,arnold_17
arnold_17_on_mirror.x,arnold_17
arnold_19_on_mirror,arnold_19
arnold_19_off_mirror,arnold_19
arnold_20_on_mirror,arnold_20
arnold_20_off_mirror,arnold_20
arnold_23_on_mirror,arnold_23
arnold_23_off_mirror,arnold_23
arnold_21_on_mirror,arnold_21
arnold_21_off_mirror,arnold_21
arnold_25_on_mirror,arnold_25
arnold_25_off_mirror,arnold_25
arnold_39_on_mirror,arnold_39
arnold_39_off_mirror,arnold_39
arnold_46_on_mirror,arnold_46
arnold_46_off_mirror,arnold_46
arnold_54_on_mirror,arnold_54
arnold_54_off_mirror,arnold_54
arnold_29_on_mirror,arnold_29
arnold_29_off_mirror,arnold_29
arnold_24_on_mirror,arnold_24
arnold_24_off_mirror,arnold_24
arnold_32_on_mirror,arnold_32
arnold_32_off_mirror,arnold_32
guardian_uvrv_on_mirror,guardian_uvrv
guardian_uvrv_off_mirror,guardian_uvrv
arnold_50_on_mirror,arnold_50
arnold_50_off_mirror,arnold_50
arnold_14_on_mirror,arnold_14
arnold_14_off_mirror,arnold_14
arnold_33_on_mirror,arnold_33
arnold_33_off_mirror,arnold_33
arnold_55_on_mirror,arnold_55
arnold_55_off_mirror,arnold_55
eastman_thickclear_off_mirror,eastman_thickclear
eastman_0333_off_mirror,eastman_0333
eastman_gggg_off_mirror,eastman_gggg
eastman_0003_off_mirror,eastman_0003
guardian_sample3_on_mirror,guardian_sample3
guardian_sample3_off_mirror,guardian_sample3
guardian_sample2_on_mirror,guardian_sample2
guardian_sample2_off_mirror,guardian_sample2
guardian_sample4_on_mirror,NA
guardian_sample4_off_mirror,NA
guardian_sample1_off_mirror,guardian_sample1
guardian_sample1_on_mirror,guardian_sample1
arnold_16_on_mirror,arnold_16
arnold_16_off_mirror,arnold_16
arnold_15_on_mirror,arnold_15
arnold_15_off_mirror,arnold_15
guardian_nostripe_off_mirror,guardian_nostripe
arnold_unit7_on_mirror,arnold_unit7
arnold_unit7_off_mirror,arnold_unit7
imagic_im460_off_mirror,imagic_im460
thompson_iglami_off_mirror,thompson_iglami
eastman_2222_off_mirror,eastman_2222
eastman_0222_off_mirror,eastman_0222
eastman_thinclear_off_mirror,eastman_thinclear
eastman_0002_off_mirror,eastman_0002
eastman_0022_off_mirror,eastman_0022
eastman_3333bh_off_mirror,eastman_3333
eastman_3333bh_off_mirror,eastman_3333bh
eastman_number_3333_bh_on,NA
eastman_0033bh_off_mirror,eastman_0033
eastman_0033bh_off_mirror,eastman_0033bh
eastman_number_0033_bh_on,NA
guardian_glines_off_mirror,guardian_glines
pnr_blackhorizontal_off_mirror,pnr_blackhorizontal
pnr_blackhorizontal_on_white,pnr_blackhorizontal
x3m_sample3_on_white,3m_sample3
x3m_sample3_off_mirror,3m_sample3
pnr_whitevertical_off_mirror,pnr_whitevertical
pnr_whitevertical_on_white,pnr_whitevertical
guardian_bigdots_on_mirror,NA
guardian_bigdots_off_mirror,NA
guardian_dotclusters_on_mirror,NA
guardian_dotclusters_off_mirror,NA
guardian_circles_on_mirror,guardian_circles
guardian_circles_off_mirror,guardian_circles
guardian_stripesf18_on_mirror,guardian_stripesf18
guardian_stripesf18_off_mirror,guardian_stripesf18
arnold_49_on_mirror,arnold_49
arnold_49_off_mirror,arnold_49
arnold_48_on_mirror,arnold_48
arnold_48_off_mirror,arnold_48
arnold_47_on_mirror,arnold_47
arnold_47_off_mirror,arnold_47
guardian_new30uv_on_mirror,guardian_new30uv
guardian_new30uv_off_mirror,guardian_new30uv
pilkington_nsg4_on_mirror,pilkington_nsg4
pilkington_nsg4_off_mirror,pilkington_nsg4
glaspro_glaspro_off_mirror,glaspro_glaspro
glaspro_glaspro_on_mirror,glaspro_glaspro
x3m_sample4_on_mirror,3m_sample4
x3m_sample4_off_mirror,3m_sample4
pilkington_nsg1_on_mirror,pilkington_nsg1
pilkington_nsg1_off_mirror,pilkington_nsg1
pilkington_nsg3_on_mirror,pilkington_nsg3
pilkington_nsg3_off_mirror,pilkington_nsg3
arnold_28_on_mirror,arnold_28
arnold_28_off_mirror,arnold_28
walker_motifact213_on_mirror,walker_motifact213
walker_motifact213_off_mirror,walker_motifact213
arnold_56_on_mirror,arnold_56
arnold_56_off_mirror,arnold_56
arnold_31_on_mirror,arnold_31
arnold_31_off_mirror,arnold_31
arnold_51_on_mirror,arnold_51
arnold_51_off_mirror,arnold_51
arnold_52_on_mirror,arnold_52
arnold_52_off_mirror,arnold_52
arnold_22_off_mirror,arnold_22
arnold_22_on_mirror,arnold_22
guardian_uvrh_on_mirror,guardian_uvrh
guardian_uvrh_off_mirror,guardian_uvrh
guardian_stripef13_on_mirror,guardian_stripef13
guardian_stripef13_off_mirror,guardian_stripef13
guardian_90uv_off_mirror,NA
guardian_90uv_on_mirror,NA
guardian_dots_off_mirror.x,guardian_dots
arnold_17_off_mirror.y,arnold_17
arnold_17_on_mirror.y,arnold_17
guardian_sticks_on_mirror,guardian_sticks
guardian_sticks_off_mirror,guardian_sticks
guardian_verticalrectangles_on_mirror,guardian_verticalrectangles
guardian_verticalrectangles_off_mirror,guardian_verticalrectangles
guardian_randomrectangles_on_mirror,guardian_randomrectangles
guardian_randomrectangles_off_mirror,guardian_randomrectangles
