do_we_have_it,samplename,samplenumber,season_yr,season_yr_cond,score,cont,total,test,material,type,insulated,no_glass,p_width,p_height,thicktopat,glass_thick,total_thick,pat_color,uv,pat_density,first_surf,sec_surf,random,hor,vert,pat_width,dots,minhd,maxhd,avehd,minvd,maxvd,avevd,spectraldata,notes,x37,discrepancies,x39,
y,Arnold,35,F14,F14,Not tested,0,0,0,G,2,N,2,50,100,6,12,22,UV,Y,T,2,N,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,n,F14 data unusable. S2 = laser lines,NA,check measurements,NA,
y,Arnold,37,F14,F14,Not tested,0,0,0,G,2,N,2,50,100,6,12,12,UV,Y,T,2,N,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,n,F14 data unusable. S2 = laser lines,NA,check measurements,NA,
y,Arnold,38,F14,F14,Not tested,0,0,0,G,2,N,2,50,100,4,8,8,UV,Y,T,2,N,NA,NA,NA,0.2,Y,NA,NA,NA,NA,NA,NA,n,"F14 data unusable. low iron glass; S2 =laser dots tin bath side; vertical lines; 2 rows dots, dot diameter 2mm, spread 18 mm apart, 100 mm between each dot-row pair",NA,check measurements,NA,
y,Arnold,57,F19,F19,0.6,45,75,30,G,3,Y,3,50,100,4.2,6.4,25,UV,Y,T,2,N,Y,Y,Y,0.27,N,2.374,5.186,3.78,2.235,6.163,4.199,n,NA,NA,NA,NA,
y,Arnold,59,F20,F20,0.765,61.965,81,19.035,G,3,Y,3,50,100,6.2,6.2,25.4,UV,Y,T,1,N,Y,Y,Y,2.6,N,4.61,19.95,12.28,4.5,21.27,25.77,n,"Received F19, tested F20",NA,NA,NA,
y,Arnold,60,F20,F20,0.658,53.956,82,28.044,G,3,Y,3,50,100,29.4,8.1,35.8,UV,Y,T,N,N,Y,Y,Y,2.3,N,3.31,8.67,11.98,1.58,6.26,3.92,n,Pattern on surf. 3,NA,NA,NA,
y,Arnold,61,F20,F20,0.525,42,80,38,G,3,Y,3,50,100,5.5,20,37,UV,Y,T,N,1,Y,Y,Y,2,N,2.39,6.16,4.275,2.14,5.81,6.88,n,NA,NA,NA,NA,
y,Arnold,62,F20,F20,0.738,59.04,80,20.96,G,3,Y,3,50,100,6.4,6.5,12.5,UV,Y,T,1,N,Y,Y,Y,2.6,N,4.55,15.5,10.025,10.12,17.33,13.725,n,NA,NA,NA,NA,
y,Ferro,Blank,S17,S17,Not tested,0,0,0,G,1,N,1,50,100,0,4,4,NA,N,NA,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,NA,NA,n,not tested,NA,NA,NA,
y,Ferro,WhiteHorizontal,F19,F19,0.792,57.024,72,14.976,G,1,N,1,49.8,100,NA,NA,0.35,white,N,O,1,N,N,Y,N,0.35,N,5,5,5,NA,NA,NA,n,NA,NA,NA,NA,
